flair,seg,t1,t1ce,t2
"[0.5648001285404862, 250.54644351464435, 0.9907659040926572, 13566.376504462269, 0.9827712439892028, 153.55327754532777, 54014.959574334396, 1.1181136405447263, 1.1503573433878935, 0.0037557347810713926, 0.24478158238121034, -0.8881061297924111, 0.9169568816430914]","[0.31830988618379175, 0.08849003885660371, 0.07515114688961294, 0.08608615703943674, 0.05971748750156629, 0.060660268352374834, 0.0034757427952699714, 0.017309759720849225, 0.03763093558572586, 0.014951614470509463, 0.023159858260733496, 0.05169727366532547, 0.056236898653727996, 0.03489945228011042, 0.01759424868105561, 0.07728098192916796, 0.024071367132877296, 0.03201277291079619, 0.025787004890615608, 0.1242379654511938, 0.03184162005350929, 0.01952475156615059, 0.011440140536358041, 0.05358770616713171, 0.09554889320380731, 0.020826323062102525, 0.018282307083330295, 0.012908561630735836, 0.04164081367778964, 0.1025898331530827, 0.003437691701401038, 0.024471256850650273, 0.008636174256863737, 0.027082753973902567, 0.06621816955407155, 0.055862173605897486]","[0.31830988618378975, 0.003723899007415608, 0.006728558318359506, 0.0072287818988231835, 0.007974678119870047, 0.005096205719200174, 0.011568531365074297, 0.010203660763705998, 0.008855802033543803, 0.013130628760924634, 0.0083417321599903, 0.011035834528653705, 0.01678070036550092, 0.009998417491729134, 0.012141747157758944, 0.009636609509899538, 0.019201729064876334, 0.012306621601667086, 0.015210975477521246, 0.01884801890410737, 0.022195188255030262, 0.0048411601370405765, 0.015808117101784213, 0.004537759168657907, 0.014845961455510641, 0.02557341439579945, 0.01668557478763034, 0.019068387660866847, 0.022191407151907677, 0.025789979774443007, 0.027345287228178427, 0.007196777665663906, 0.02068096286161442, 0.0073904084491743125, 0.017283377556028323, 0.005445426656885823]","[0.31830988618378975, 0.00609225790741261, 0.006186585822899976, 0.008174092150236723, 0.012704383155849628, 0.004779755284115043, 0.008808104684206557, 0.014376089639343715, 0.007129403118260401, 0.020048160289966636, 0.008644716717428218, 0.004975750968301666, 0.008903379731278152, 0.02158336376623716, 0.008401550967520753, 0.0016302731785820229, 0.027655122826516207, 0.013729996178333667, 0.009702787624724178, 0.02014724033390945, 0.00516307804447307, 0.029900269452575727, 0.007554699889863703, 0.0010706997968541803, 0.014293831916561035, 0.03394888017744953, 0.01935241740520481, 0.015634175740191453, 0.026506327414533973, 0.04717037685900559, 0.003398313946562098, 0.03902759641716674, 0.003747412767652405, 0.00579053688537238, 0.02611509095094181, 0.004429053949881033]","[0.5665276884206822, 180.29515341701534, 0.9933100264248071, 13475.027321898231, 0.9856200341582373, 151.62451185495118, 53719.81413417592, 1.0912246004787773, 1.1170705470539866, 0.0037785000303916707, 0.2165701876314513, -0.9071414299486353, 0.9184036883893475]"
"[0.5612998471264218, 321.7549860529986, 0.9883371823445523, 13794.050269778196, 0.985823136011041, 157.3071129707113, 54854.446093059756, 1.0763489539283153, 1.095833715230648, 0.0037802850590038734, 0.19846597695676896, -0.895156298779989, 0.9113930464141438]","[0.31830988618378947, 0.014304350299375778, 0.03365813129317757, 0.032576490959722815, 0.01118273250934489, 0.04925428837967441, 0.028533960813263877, 0.03010496493723828, 0.01650845928953525, 0.012426391694763792, 0.04019790813089905, 0.018235977276608847, 0.007543692281785385, 0.016871522227054344, 0.004531110957548752, 0.019118588651549587, 0.036216947097386806, 0.02527525186225322, 0.0164093546264496, 0.031245222819900453, 0.012146935878074213, 0.012440409799160916, 0.015584641806459899, 0.018186867270319925, 0.022630836626935092, 0.048440469527620336, 0.020292202435429292, 0.03273939087238032, 0.038110213840172505, 0.012972558325304102, 0.022126236149571085, 0.025337165577323982, 0.007502919822508882, 0.023969923556692467, 0.023128777137091893, 0.025475525348345632]","[0.31830988618379225, 0.0031763322918446487, 0.0036868278933436995, 0.008962937543506794, 0.006830868069085976, 0.009097038780880739, 0.006609195937062972, 0.013096082145311681, 0.005802815466550098, 0.011321923021056564, 0.014270492200703535, 0.009537938967208899, 0.010094805904087066, 0.014158388998000914, 0.006862828986190888, 0.0029981026991389528, 0.016713266434577767, 0.020003131212253618, 0.01304599908339069, 0.01062828335549428, 0.014075457619690795, 0.011280062001186576, 0.00795425211894996, 0.0054056037071353825, 0.009113546462893921, 0.02256605916977769, 0.026001118542223155, 0.01650848067704732, 0.012057991673752778, 0.029372248134145424, 0.018146656500644228, 0.011384793787352802, 0.011268036222424045, 0.019021190425343483, 0.011627306929939954, 0.01183223554798807]","[0.31830988618379225, 0.003670507943835831, 0.0036708833285450425, 0.008948065779991878, 0.007690702761345374, 0.00903910116517304, 0.006529943347964607, 0.012945019850671313, 0.005811860236608972, 0.01236147921418084, 0.014055377725894361, 0.009484228830659249, 0.009872976695381556, 0.013662735148622413, 0.006921980101615028, 0.003062869939857058, 0.017816800877712504, 0.019556063025622614, 0.01293554661693855, 0.010591701341820718, 0.013592463373881564, 0.010293842784109523, 0.008538772070638561, 0.005788637193131975, 0.008996893766942087, 0.023854545676727488, 0.025377612412812386, 0.016419395172951524, 0.011981296645602359, 0.029531711761504396, 0.01722012331432541, 0.01208737492211691, 0.013103178516767051, 0.019719294263629342, 0.011878664677431297, 0.012016775288925008]","[0.5637639178235676, 294.8941073919108, 0.9893413652689325, 13833.577884622122, 0.9899041836895612, 157.56443514644351, 55039.417431096546, 1.0216101398256439, 1.0337756478020756, 0.0038119042924394395, 0.13835485259002667, -0.9200736881625576, 0.910062908253984]"
"[0.5665060921175613, 317.44354951185494, 0.988569584197263, 13885.914344246568, 0.9936689407005944, 157.876359832636, 55226.21382747439, 0.9575532193151027, 0.9641040367401752, 0.0038415176428614048, 0.07210102298031132, -0.9418650687655385, 0.9056908959547093]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.31830988618379225, 0.004214834918389869, 0.0032954665076254186, 0.0074654427344106305, 0.009023345817820378, 0.003958593598978182, 0.004630919952531, 0.013249633871743108, 0.005301450354740277, 0.014805398337052241, 0.006427515471480643, 0.021426676914426394, 0.004508742560007218, 0.020191093749997092, 0.006828989096049233, 0.005102413647684716, 0.021330446915437045, 0.009277479351417471, 0.03126732599130628, 0.033421428728751965, 0.0021524294497222225, 0.02857157792242562, 0.007724072399635106, 0.007647194729486183, 0.013069870699473723, 0.027220812460797633, 0.011660797483300444, 0.04192008263169646, 0.042214004110538134, 0.03345458436773618, 0.0030551846122334274, 0.038322197561423826, 0.008138280629565006, 0.012326646086460065, 0.018218694928942722, 0.010526832634362347]","[0.31830988618379225, 0.004822290017768479, 0.003260239779678476, 0.0076495857556883075, 0.010385091889253607, 0.006834021880198901, 0.0044460843273696395, 0.013535054971438325, 0.004929927943079332, 0.017116826040892957, 0.011382615466537103, 0.011152490053347383, 0.00396121109636378, 0.020521142353267543, 0.006178598332329736, 0.005417369409033013, 0.024746153417443524, 0.016785131667139238, 0.018035173642379738, 0.017543179168547664, 0.0009215353302457105, 0.028815740620950114, 0.0066936063952924745, 0.009552677253294282, 0.017017859964920043, 0.03184941387059859, 0.02224273523493817, 0.02595234232503786, 0.022530382972483286, 0.05328291485840227, 0.005356352615604907, 0.03823454300214617, 0.006963104392897137, 0.01577369164878519, 0.02450266949959714, 0.005738107191891198]","[0.5620338232716028, 341.09281729428176, 0.9876096116140208, 13764.411843629885, 0.9864362791023078, 156.75672942817295, 54716.55455722526, 1.068035018776657, 1.0865464108495453, 0.003784593273939814, 0.18826556344776524, -0.9042974967110318, 0.9130279986708199]"
"[0.5352758967197315, 432.51213389121347, 0.9843045187656883, 13778.23742497621, 0.9626174023352531, 161.8026847977685, 54680.4375660136, 1.3803035245055586, 1.4690282749826724, 0.0036006094523877274, 0.4881266891481534, -0.8123692532550819, 0.9305760152303385]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3183098861837885, 0.0021328970903340553, 0.011869407060530428, 0.00422409385402637, 0.0066982460456731984, 0.010930019170112267, 0.003567964586359392, 0.006143435750678409, 0.002053227703791405, 0.006382185867606753, 0.00970347091175717, 0.012248360045076878, 0.006900593167060867, 0.00740729954798587, 0.007053973508460908, 0.0041642598282435345, 0.003222418165484635, 0.02651013807473867, 0.014242249691180594, 0.01746415691686996, 0.00648137572011147, 0.004952775972416911, 0.007972367569592912, 0.00970911030246939, 0.0021948779789040256, 0.009597459825846954, 0.01933630212446208, 0.028198891723930107, 0.021423189678461848, 0.019378053906284057, 0.00147070308950443, 0.005266109784128855, 0.0027995859338498037, 0.01068736534665971, 0.0012919344503843173, 0.02726923011796694]","[0.31830988618378975, 0.0018549974617414098, 0.0023340310649431397, 0.0028633262293017506, 0.0033837473712768212, 0.009071421583173487, 0.003093525040965832, 0.003675193005618685, 0.003270158792882367, 0.00454678227260463, 0.014275463949107689, 0.011256507435446948, 0.0024085857838548317, 0.002830196902758204, 0.002183952613286911, 0.004050645235029902, 0.005701612317439456, 0.019453275061495006, 0.016843954934277608, 0.016810930433095197, 0.0006617345505623519, 0.0009366384205119029, 0.0017354225401492965, 0.007521980747284616, 0.0023959469026693984, 0.006908777239705478, 0.023059105086975677, 0.02224590249966106, 0.022931625817800935, 0.018747427150901063, 0.0070641944650467236, 0.006488872875204418, 0.008887351329608783, 0.012641933095917325, 0.0026811002384940765, 0.026841280816790318]","[0.5505144473403439, 349.8984658298466, 0.987619098200331, 14130.572695407554, 0.9872183438969139, 164.62447698744768, 56172.39231580039, 1.0773438965919018, 1.0953392170184237, 0.00379144343373097, 0.1781454971735194, -0.9117763374611386, 0.9167674223046278]"
"[0.5575874708708026, 284.4195955369595, 0.9898017572439215, 13944.539384858457, 0.9873524220676138, 160.43221757322175, 55493.737943896864, 1.065751693212881, 1.0843499748877392, 0.0037917086532465536, 0.17378118712417168, -0.9144644329182984, 0.9160204280837287]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.31830988618378975, 0.0037326616824267665, 0.006728250413606103, 0.007224409639275763, 0.007966064474665928, 0.0050911683646985674, 0.011567835892736335, 0.010176161005152777, 0.008864714118072985, 0.01307185928755418, 0.00833810890655344, 0.011013564155706677, 0.016781449573518105, 0.009909769664317135, 0.01215081806637854, 0.009625561690544092, 0.019082726576249296, 0.012316161255883772, 0.015133294803127067, 0.018813180513489375, 0.022200927112169717, 0.004629095411932406, 0.01583762703204621, 0.004448102520349393, 0.014780543397625745, 0.025438632379125872, 0.016743301804735787, 0.018923783556028473, 0.022068001540652662, 0.025836696378279855, 0.027354396613138203, 0.007621644255215657, 0.020777995406316932, 0.007716069618257991, 0.01719939849317146, 0.005573360082442588]","[0.3183098861837896, 0.004120813578435194, 0.009701784950935592, 0.015001758200429826, 0.008620815206326604, 0.0009100093005821704, 0.016115078937171713, 0.022834413132462518, 0.01434439148177459, 0.013689076369477129, 0.001990938936491619, 0.007322111536609059, 0.02224339337197419, 0.02699315346616355, 0.017481364664862654, 0.01596482759857151, 0.019088296632293618, 0.004614882261718816, 0.010085920305333267, 0.012467368400484666, 0.0275825696291766, 0.025533363648102735, 0.01812256212749644, 0.012113510340466397, 0.023579340057465335, 0.023889147949001207, 0.008675430687574783, 0.013635975458768542, 0.013713071667774234, 0.025094853968694906, 0.031303887552299944, 0.01734630427666091, 0.016255117192769977, 0.004518661394060297, 0.027952014048821004, 0.023353763084017758]","[0.5559569885090425, 248.63193863319387, 0.9910031372718358, 13817.70213381554, 0.9846120912975013, 158.69299163179915, 55022.17659662894, 1.1191887131712914, 1.1448620672661947, 0.0037708561710143315, 0.2297832034239329, -0.8999452936467465, 0.9199833160672767]"
"[0.5126082731419073, 400.4136331938634, 0.9863976158589424, 14718.509234908739, 0.9695906290016887, 183.1955369595537, 58473.62330644112, 1.3352185759256479, 1.4081043991214766, 0.0036529746694611872, 0.3906198025989033, -0.8546006360928139, 0.9368525179154873]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.31830988618379225, 0.005178539127877962, 0.0027455603239588326, 0.005786512493540033, 0.010453113855997459, 0.004332487571600634, 0.0018108727971226511, 0.00919917183606182, 0.022156463904095848, 0.015725631118723035, 0.007639440971607446, 0.008507857966841115, 0.0036208240046346723, 0.01189251086832897, 0.0280793652766833, 0.01196207690659839, 0.020470897239717997, 0.012325105842722802, 0.013781076709995978, 0.033680942005919264, 0.01566800678852694, 0.013509441762958938, 0.03006165170778981, 0.013348321716725094, 0.006178973949021733, 0.023485327761688934, 0.018451434683248284, 0.020550439821891017, 0.042629188071418404, 0.03385249288258124, 0.035815416621908534, 0.013708947184973671, 0.026312503178309975, 0.013054467250015973, 0.011028838589218567, 0.009849482400876136]","[0.31830988618379064, 0.006253033307290361, 0.0003448383218201106, 0.0028289721506128615, 0.012649223088600184, 0.008061990031839508, 0.003466068746348566, 0.004352725479160007, 0.01744778978831275, 0.019139001268138285, 0.013025133684309529, 0.01446380710707694, 0.011270747636727745, 0.005324358038081236, 0.02155470968652086, 0.006723002632362062, 0.025252837533580735, 0.019131833117966596, 0.02166884449489225, 0.03160911214687292, 0.02593807412797704, 0.005536760865867557, 0.021773278552138807, 0.008063859393086998, 0.006817437226343234, 0.0298529519115766, 0.02650294898385709, 0.03032067241174447, 0.040361115513216306, 0.043030595936290154, 0.0489807282071608, 0.0048952378952854805, 0.01634327302478865, 0.009288454664767742, 0.022127112189823713, 0.0069177694118349895]","[0.5257682584204778, 367.8430962343096, 0.9877364800978753, 14997.451758143712, 0.9880571371603986, 185.67248953974894, 59621.96393634056, 1.1016656411661805, 1.1160853262069486, 0.003797502351541013, 0.1655572707660587, -0.9087117850274442, 0.9187644198752148]"
"[0.5374800299048413, 295.5608437935844, 0.9899092587851931, 14645.150316603744, 0.9883191313474615, 176.07461645746167, 58285.04042262135, 1.0833113925090467, 1.0985411362052373, 0.003799504060187733, 0.16244570604021344, -0.9116081837859349, 0.9171789289754776]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.31830988618378975, 0.004702733652563249, 0.006629456759588819, 0.012008350484480535, 0.00979715684169527, 0.005027976720811716, 0.011060792279938173, 0.017939424153472713, 0.010141399923679054, 0.015507249126248328, 0.008024704198399398, 0.0076089340330325935, 0.015311266358223288, 0.020387009488515163, 0.011990092339465097, 0.009761440951172715, 0.021670953065168055, 0.011802566953816575, 0.01055653719411349, 0.011437105966854572, 0.018926059365500476, 0.01773608707407662, 0.01214295191895532, 0.0060536177838067685, 0.014422715483175474, 0.02749709612842388, 0.016511790265438264, 0.014285401685101635, 0.011821282443217989, 0.021310450251603004, 0.02112885803466752, 0.011390942128909806, 0.012038338165542017, 0.012307382518140416, 0.01678664212229893, 0.012089247550761482]","[0.3183098861837918, 0.0028449205891251934, 0.005319630930056974, 0.006518470179078299, 0.0063773900584845845, 0.010358025867436895, 0.008038764087721022, 0.009336276953809838, 0.007405239170424419, 0.011163997425019537, 0.016876424720549503, 0.014662550736343918, 0.009479550089706797, 0.009480253996318235, 0.010400893690938218, 0.004114316395761347, 0.017473712826910143, 0.024360026990212395, 0.019747518733101543, 0.012498057692908945, 0.009143907894950615, 0.005470858751183231, 0.013560914659332823, 0.003965672231714643, 0.021982732074926604, 0.02502747854305289, 0.03195291179413756, 0.02369539416747759, 0.014310103707803508, 0.016592338464717787, 0.006754256763377465, 0.004959736560119468, 0.01694819406681399, 0.014758200451225358, 0.030746113199350746, 0.015849166157837297]","[0.5368104832650574, 285.93490237099024, 0.9902061666876493, 14597.701086581068, 0.9874724759335914, 175.38082287308225, 58104.869443953314, 1.1005934273909126, 1.1202436652931378, 0.003791967848661585, 0.17745884145711113, -0.9148505264075336, 0.9212806534604693]"
"[0.5996757382962872, 309.1775453277546, 0.9878776426833061, 12752.368918460621, 0.991611278016032, 137.0712691771269, 50700.29812851472, 0.9331777858726427, 0.9428231551363488, 0.0038254298703648136, 0.10260770052457459, -0.9287394869961403, 0.8972204516503159]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.31830988618379225, 0.0058801542741193594, 0.003571435023743583, 0.008959509675560884, 0.012197629751390757, 0.00905068636351382, 0.006010690221703715, 0.013016554790851589, 0.005598971022492612, 0.019219756620825628, 0.014007888200988847, 0.009669237688127863, 0.008340070088086831, 0.013914476830394172, 0.006415859610065678, 0.002694106490179189, 0.02682123693418616, 0.019515451615542856, 0.013350798185207199, 0.010717200322691479, 0.010139635205344829, 0.010761003357798655, 0.007502663930792055, 0.006049042832572608, 0.008879867629853376, 0.03423234604026916, 0.025559604138853925, 0.0174301914358943, 0.012026461653740533, 0.029087701653069325, 0.010684660569094563, 0.010938793424726343, 0.01178100379288661, 0.020526634189024142, 0.009988029528133746, 0.013087864901250603]","[0.31830988618379225, 0.0060630472458774705, 0.0035611416223455907, 0.008952562276537008, 0.012540177967245788, 0.009035419763081875, 0.005958524478213357, 0.012961241851021876, 0.005587324819841885, 0.019684660426750187, 0.013945638237094911, 0.009667015358560732, 0.008191186962249913, 0.013741027757147093, 0.006401318318658949, 0.002687788643952895, 0.027373984762511176, 0.019392269479673936, 0.013349249778026755, 0.010716171740622808, 0.009813087296196924, 0.010397116637088527, 0.007619477768736845, 0.006169922280334874, 0.008838568648901021, 0.034865771746680416, 0.025409785508314072, 0.0174774277979975, 0.012010347193314517, 0.029102989448526243, 0.010070636715701973, 0.010999256593115934, 0.01223764015312367, 0.020774600972800754, 0.009940668864894206, 0.013201118658248027]","[0.5987738212644111, 279.70658995815904, 0.9889794868712082, 12690.270711052704, 0.9899727563326439, 136.523640167364, 50481.37625425267, 0.9699035641335585, 0.9828532068497147, 0.0038124361846631704, 0.1394552453432457, -0.9222117024947036, 0.9022145376714462]"
"[0.5404349195251212, 336.225278940028, 0.9883664622201661, 14450.68926164748, 0.9855098524168684, 171.85561366806135, 57466.531767649896, 1.1086753436966486, 1.128695687938719, 0.0037777513346595416, 0.1984152596648587, -0.8980264033999102, 0.9171259244436936]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3183098861837896, 0.008700507143589825, 0.009298709387351639, 0.0069769263363863385, 0.017722806116638234, 0.006392217049057729, 0.01404552840182352, 0.010499459652470284, 0.004168149950859555, 0.027085671314163375, 0.011184835063810454, 0.006455282274386936, 0.016276249205340144, 0.012124021415225911, 0.0026512923996671865, 0.02926055309662835, 0.03615184850759063, 0.017688812993092124, 0.008777412282220549, 0.029957411518282046, 0.01453652148972246, 0.010848530578668837, 0.002582836064261274, 0.031988658459850335, 0.01033381695365663, 0.04324486473533799, 0.025784247994230788, 0.011798290132656904, 0.03724240560022922, 0.029151325286340405, 0.007508939282046681, 0.005982547841615179, 0.01259591025882484, 0.029791383125712608, 0.0031553809001208, 0.006559518095879677]","[0.3183098861837886, 0.006304195505112739, 0.012183477054642726, 0.004284657608553736, 0.012750629508572963, 0.003200952805585425, 0.018084930282502985, 0.006640373341393113, 0.012550210655315324, 0.01920932528532494, 0.0031171304642016065, 0.013184105904150924, 0.020296852354415713, 0.008286992759088159, 0.014841208588488145, 0.019156446136049256, 0.024967652144194014, 0.001658044559699324, 0.01704865737028865, 0.035662787236418546, 0.016936472791451527, 0.009325429698877355, 0.014097927161365095, 0.020077604506331254, 0.017476571392397233, 0.028413893086157528, 0.003007151852394531, 0.021175418787808285, 0.045053179335424624, 0.04083430155061122, 0.006499050941826357, 0.010941042253592896, 0.011353085606328797, 0.017146869621783155, 0.007979187522485817, 0.0126041500038256]","[0.5409323182002534, 266.0087866108787, 0.9907564682333212, 14388.915044885223, 0.9862863390689367, 171.06080892608088, 57289.65139293003, 1.113128770889277, 1.1350340232843075, 0.0037838912252141205, 0.1971143765387365, -0.914902175573772, 0.9233160419026749]"
"[0.5472540872968978, 345.40149930264994, 0.9876482359146892, 13981.869185528916, 0.9783055121029849, 162.75432357043238, 55582.07524281301, 1.1829749418666278, 1.224837768688748, 0.0037206810457335537, 0.2856000108419156, -0.8717533380088905, 0.9215998410081117]","[0.31830988618378886, 0.14867187034473853, 0.14232505799495754, 0.12036428855023724, 0.07292102746935293, 0.036589533498991224, 0.0026680401746675964, 0.025193513990279554, 0.025233917103746586, 0.055016797732010354, 0.07394979738885057, 0.05528297874231245, 0.05589891022370223, 0.06440144578439784, 0.05835246317579892, 0.013783022866739755, 0.03808253471689767, 0.03205301748172987, 0.027941374604005944, 0.0510282761580952, 0.004393011759802781, 0.029331386984311838, 0.015339185266329217, 0.03822139110750874, 0.08242805593047614, 0.025404121273929874, 0.00869227954794586, 0.023054557532001325, 0.05405812935182836, 0.044703968422269064, 0.009412096388902776, 0.027746077138792576, 0.013236774687723546, 0.04157840153814483, 0.05215856873456162, 0.023541000006946554]","[0.3183098861837891, 0.004437108268146965, 0.006037533978172141, 0.006426662436873133, 0.008965656784622683, 0.0020212382108999896, 0.007611213623367831, 0.010343174922780498, 0.017207878143897497, 0.013461709689958211, 0.002507451631964707, 0.002622838214664242, 0.005217554543480099, 0.013596288298681465, 0.021015588158230087, 0.01381620732264545, 0.01731417832056952, 0.004075857892839355, 0.005986940450223702, 0.04070404550133584, 0.0030130758039737288, 0.01583174958414124, 0.020998181548887326, 0.015258662498275588, 0.016642367220938974, 0.01912859437643868, 0.00764907648953748, 0.010916810421665514, 0.05150568252471356, 0.0438187899437098, 0.018451673188132213, 0.016915911137767286, 0.01564211805105183, 0.015518734752237908, 0.005381045370962088, 0.015861686565701118]","[0.3183098861837891, 0.007238787220358296, 0.015361826499924937, 0.0014343562364016909, 0.014649178421754264, 0.0045187580057793695, 0.023539318834183535, 0.0016510878937276508, 0.011317632152703644, 0.022122232677909467, 0.006488529529883609, 0.01080291661535596, 0.028265436428848757, 0.0012073118082036166, 0.01277640727284622, 0.02418842600576967, 0.028938649004923347, 0.009024523155439983, 0.01286649777419456, 0.028440478431086942, 0.027738371214980077, 0.0036287163498330438, 0.010486073723485754, 0.02633607313405452, 0.00868460617833715, 0.033409147778003, 0.012832637697736349, 0.014704252353844845, 0.036103426658861466, 0.03366796451167232, 0.020473391599536556, 0.009583209569041773, 0.0030631545643226435, 0.024397229867560148, 0.0019196655808517858, 0.01721358846385161]","[0.5519884560054289, 306.4553347280335, 0.989089538898763, 14044.10555541453, 0.9857779226522386, 163.0255230125523, 55869.9668869301, 1.1003153432672905, 1.121701126842897, 0.003779464598829116, 0.2050336474233961, -0.9011725735292457, 0.9171482483199528]"
